NAME,YEAR,DIRECTOR,RATINGS,REVIEWS,RATING_SCORES,POLARITY_SCORES,COMPOUND,COMPOUND_CLASSIFICATION,RATING_CLASSIFICATION
The Empire Strikes Back,1980,Irvin Kershner, ★★★★★ ," TIMELESS THIS MASTERPIECE IS. ONE OF THE BEST SEQUELS AND SCIENCE FICTION FILMS IT IS AND THE FOUNDATION OF EVERYTHING WE LOVE AND ADMIRE ABOUT ""STAR ""WARS"" IT HAS LAID ***",5.0,"{'neg': 0.0, 'neu': 0.593, 'pos': 0.407, 'compound': 0.9663}",0.9663,pos,pos
The Elephant Man,1980,David Lynch, ★★★★½ ," ""My life is full, because I know that I am loved.”Such a beautiful and touching film, a true lesson about humanity. The direction from David Lynch is admirable and the choice to shoot the film in black and white was perfect, as it’s a depressing representation of a man’s suffering and how despicable people can be towards others. Anthony Hopkins was really great portraying ‘Dr. Frederick’ but John Hurt stole the show as ‘John Merrick’, perfectly capturing the pain and vulnerability of his character. ***",4.5,"{'neg': 0.167, 'neu': 0.66, 'pos': 0.172, 'compound': 0.1397}",0.1397,neu,pos
Vertigo,1958,Alfred Hitchcock, ★★★½ ," While I found this movie to be very good, I didn't quite see it as one of the best movies ever. ***",3.5,"{'neg': 0.0, 'neu': 0.709, 'pos': 0.291, 'compound': 0.8122}",0.8122,pos,pos
One Flew Over the Cuckoo's Nest,1975,Miloš Forman, ★★★★★ ," acting so real, thought i was in the cuckoo’s nest ***",5.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neu,pos
Some Like It Hot,1959,Billy Wilder, ★★★★ ," I know Some Like it Hot is considered “one of the final nails in the coffin of the Hays Code” for obvious reasons, but it’s actually kind of fun to rack up just how many other “rules” this film breaks concerning over twenty years of censorship. A five-minute make-out session with both figures in a reclining position. A throwaway line that includes the word “pregnant”. The bust of that Marilyn dress. It’s like the perfect meeting point between the old studio system era and the New Hollywood of the late 60s. ***",4.0,"{'neg': 0.0, 'neu': 0.857, 'pos': 0.143, 'compound': 0.9332}",0.9332,pos,pos
The King of Comedy,1982,Martin Scorsese, ★★★★½ ," when rupert says ""woody allen is a personal friend of mine"" and rita says ""of course he is"" ... scorsese's mind ***",4.5,"{'neg': 0.0, 'neu': 0.862, 'pos': 0.138, 'compound': 0.4939}",0.4939,neu,pos
The Lion King,1994,Roger Allers, ★★★ ," grandson says he can't wait to be king, helps him immediately become king, Scar is actually the best uncle of all time ***",3.0,"{'neg': 0.0, 'neu': 0.755, 'pos': 0.245, 'compound': 0.7783}",0.7783,pos,pos
Prisoners,2013,Denis Villeneuve, ★★★★★ , This review may contain spoilers. I can handle the truth.  They 👯 Didn’t 🙅🏻🚫 Cry 😳😂 Until👇⏰ I 👁🙋🏻‍♂️ Left 🏃💨 Them 👯  ***,5.0,"{'neg': 0.132, 'neu': 0.769, 'pos': 0.098, 'compound': -0.2023}",-0.2023,neu,pos
Lawrence of Arabia,1962,David Lean, ★★ ," I ain't watching a 4-hour long movie about the desert, fuck off. ***",2.0,"{'neg': 0.259, 'neu': 0.741, 'pos': 0.0, 'compound': -0.5423}",-0.5423,neg,pos
Rear Window,1954,Alfred Hitchcock, ★★★★★ , HE WAS SELF ISOLATING ***,5.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neu,pos
Funeral Parade of Roses,1969,Toshio Matsumoto, ★★★★★ ," Funeral Parade of Roses is a lot of things – experimental, idiosyncratic, progressive, intersectional. However, perhaps most of all, it is timeless. Director Toshio Matsumoto captures 1960s Japan with such specificity and intention, guiding us beyond whatever we usually see on a surface level. Many films explore identity; few do so as thoughtfully and impressively as this. And with society at large becoming increasingly polarized, it will only grow to be more relevant than it already is. ***",5.0,"{'neg': 0.031, 'neu': 0.895, 'pos': 0.074, 'compound': 0.539}",0.539,pos,pos
Apur Sansar,1959,Satyajit Ray, ★★★½ ," I haven’t written a line since we were married.Is that my fault?It’s to your credit. You know how much my novel means to me. You mean much more.The only thing more capable at building up, shifting and breaking down our dreams than love is the loss of it. ***",3.5,"{'neg': 0.04, 'neu': 0.707, 'pos': 0.253, 'compound': 0.908}",0.908,pos,pos
A Moment of Innocence,1996,Mohsen Makhmalbaf, ★★★★★ , I'm starting to fall in love with iranian cinema ***,5.0,"{'neg': 0.0, 'neu': 0.682, 'pos': 0.318, 'compound': 0.6369}",0.6369,pos,pos
The Grand Budapest Hotel,2014,Wes Anderson, ★★★★★ , agatha <<<3333 [redacted] ***,5.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neu,pos
Parasite,2019,Bong Joon-ho, None , maybe the real parasite... was the friends we made along the way ***,0.0,"{'neg': 0.0, 'neu': 0.795, 'pos': 0.205, 'compound': 0.4767}",0.4767,neu,neu
Millennium Actress,2001,Satoshi Kon, ★★★★ , This is Perfect Blues older sister and I will not be taking further questions. ***,4.0,"{'neg': 0.0, 'neu': 0.778, 'pos': 0.222, 'compound': 0.5719}",0.5719,pos,pos
Tampopo,1985,Jūzō Itami, ★★★★★ ," ""Apologize to the pork.""One of the most erotic movies of all time. If only there were an English word that meant horny and hungry at the same time. In the decade or so since I saw this last, I forgot about all the surreal digressions from the main plot: the secret ingredients that make this movie so damn fun and delicious. (Except for that egg yolk scene. Gross.) ***",5.0,"{'neg': 0.046, 'neu': 0.838, 'pos': 0.115, 'compound': 0.6354}",0.6354,pos,pos
Sunrise: A Song of Two Humans,1927,F. W. Murnau, ★★★½ ," ""Don't be afraid of me."" - man, Look, getting a pig drunk was funny back in 1927. The score is beautiful, the images are haunting, and it's pretty cool that this is one of the first ever films to use tracking shots. Sunrise is a lovely, and sometimes funny, story about romance and deceit and it kept my attention for the most part, which is not something I can say for all silent films. F.W. Murnau really understood how to craft a pretty shot and I'll always appreciate him for that. A silent film I can get behind. ***",3.5,"{'neg': 0.065, 'neu': 0.69, 'pos': 0.246, 'compound': 0.9682}",0.9682,pos,pos
